method,page_number,y_coordinate,chunk_index,chunk_text,input_line,similarity_score
partial_ratio,1,138,32,of 1623 and for later editions first performed around 1595,and fill that tradition in space before around 1595 the,69
token_sort_ratio,2,194,111,and thrust his maids to the wall women gregory 1120,and fill that tradition in space before around 1595 the,49
token_set_ratio,1,138,32,of 1623 and for later editions first performed around 1595,and fill that tradition in space before around 1595 the,53
partial_token_sort_ratio,3,720,130,1 sense that feel it feel what i do to,and fill that tradition in space before around 1595 the,58
simple_ratio,2,358,88,strike sampson 118 a dog of the house of montague,with around 1595 and the number in that series of,45
partial_ratio,1,138,33,editions first performed around 1595 linenumbering matches the folger library,with around 1595 and the number in that series of,63
token_sort_ratio,2,148,118,the same prove have fought with the men i will,with around 1595 and the number in that series of,51
token_set_ratio,1,138,32,of 1623 and for later editions first performed around 1595,with around 1595 and the number in that series of,56
partial_token_sort_ratio,3,720,130,1 sense that feel it feel what i do to,with around 1595 and the number in that series of,58
simple_ratio,2,323,92,to be valiant is to stand brave therefore if thou,with some indication of pronunciation same directions are clarified so,45
partial_ratio,1,114,37,some indications of pronunciation stage directions are clarified side notes,with some indication of pronunciation same directions are clarified so,93
token_sort_ratio,2,136,120,be civil with the humane maids and 5 cut off,with some indication of pronunciation same directions are clarified so,44
token_set_ratio,1,114,37,some indications of pronunciation stage directions are clarified side notes,with some indication of pronunciation same directions are clarified so,87
partial_token_sort_ratio,3,685,134,am able to stand and tis known i am a,with some indication of pronunciation same directions are clarified so,43
simple_ratio,2,335,91,move is to stir and to be valiant is to,of pronunciation same directions are clarified so i know its,42
partial_ratio,1,114,37,some indications of pronunciation stage directions are clarified side notes,of pronunciation same directions are clarified so i know its,90
token_sort_ratio,3,755,124,the maids sampson 1126 ay the heads of the maids,of pronunciation same directions are clarified so i know its,39
token_set_ratio,1,114,37,some indications of pronunciation stage directions are clarified side notes,of pronunciation same directions are clarified so i know its,81
partial_token_sort_ratio,3,685,135,tis known i am a pretty 2 piece of flesh,of pronunciation same directions are clarified so i know its,47
simple_ratio,2,323,93,stand brave therefore if thou art moved thou runnst away,safe directions are clarified so now its forgiven for a,45
partial_ratio,1,114,38,directions are clarified side notes are given for vocabulary figurative,safe directions are clarified so now its forgiven for a,82
token_sort_ratio,3,743,126,or their maidenheads virginity take it in what sense thou,safe directions are clarified so now its forgiven for a,43
token_set_ratio,1,114,38,directions are clarified side notes are given for vocabulary figurative,safe directions are clarified so now its forgiven for a,72
partial_token_sort_ratio,3,685,134,am able to stand and tis known i am a,safe directions are clarified so now its forgiven for a,51
simple_ratio,2,265,101,that shows thee a weak slave 2 for the weakest,clarified so notes are given for a cabaret figurative language,43
partial_ratio,1,114,38,directions are clarified side notes are given for vocabulary figurative,clarified so notes are given for a cabaret figurative language,81
token_sort_ratio,3,685,134,am able to stand and tis known i am a,clarified so notes are given for a cabaret figurative language,46
token_set_ratio,1,114,38,directions are clarified side notes are given for vocabulary figurative,clarified so notes are given for a cabaret figurative language,78
partial_token_sort_ratio,3,638,141,poorjohn a poor catch abram another montague servant enter armed,clarified so notes are given for a cabaret figurative language,48
simple_ratio,2,253,102,slave 2 for the weakest weakling 1 coward goes to,are given for a cabaret figurative language and illusions they,45
partial_ratio,1,103,39,are given for vocabulary figurative language and allusions this script,are given for a cabaret figurative language and illusions they,89
token_sort_ratio,3,627,142,another montague servant enter armed draw thy tool here comes,are given for a cabaret figurative language and illusions they,46
token_set_ratio,1,103,39,are given for vocabulary figurative language and allusions this script,are given for a cabaret figurative language and illusions they,77
partial_token_sort_ratio,3,638,141,poorjohn a poor catch abram another montague servant enter armed,are given for a cabaret figurative language and illusions they,46
simple_ratio,2,206,109,therefore i will push montagues always men from the wall,language and illusions they soon came downloaded from wwwdonsonscom and,41
partial_ratio,1,103,40,language and allusions this script be downloaded from wwwhundsnesscom and,language and illusions they soon came downloaded from wwwdonsonscom and,80
token_sort_ratio,3,627,142,another montague servant enter armed draw thy tool here comes,language and illusions they soon came downloaded from wwwdonsonscom and,50
token_set_ratio,1,103,40,language and allusions this script be downloaded from wwwhundsnesscom and,language and illusions they soon came downloaded from wwwdonsonscom and,79
partial_token_sort_ratio,3,627,142,another montague servant enter armed draw thy tool here comes,language and illusions they soon came downloaded from wwwdonsonscom and,52
simple_ratio,2,183,113,the quarrel is between our masters and us their men,this week we came down over to wwwdonsonscom and it,43
partial_ratio,1,103,40,language and allusions this script be downloaded from wwwhundsnesscom and,this week we came down over to wwwdonsonscom and it,61
token_sort_ratio,3,627,143,draw thy tool here comes two 1 of the house,this week we came down over to wwwdonsonscom and it,47
token_set_ratio,1,103,40,language and allusions this script be downloaded from wwwhundsnesscom and,this week we came down over to wwwdonsonscom and it,57
partial_token_sort_ratio,3,627,143,draw thy tool here comes two 1 of the house,this week we came down over to wwwdonsonscom and it,51
simple_ratio,2,159,114,masters and us their men menservants sampson 1122 tis all,wwwdonsonscom and use free new education and performance take out,41
partial_ratio,1,91,42,used freely for education and performance david hundsness editor 2004,wwwdonsonscom and use free new education and performance take out,68
token_sort_ratio,3,627,142,another montague servant enter armed draw thy tool here comes,wwwdonsonscom and use free new education and performance take out,43
token_set_ratio,1,91,41,be downloaded from wwwhundsnesscom and used freely for education and,wwwdonsonscom and use free new education and performance take out,64
partial_token_sort_ratio,3,556,151,do you mean sampson 1137 fear me not trust me,wwwdonsonscom and use free new education and performance take out,49
simple_ratio,2,183,113,the quarrel is between our masters and us their men,of two households both like indignity in perforurina where we,39
partial_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families,of two households both like indignity in perforurina where we,73
token_sort_ratio,3,627,144,two 1 of the house of montagues 2 sword the,of two households both like indignity in perforurina where we,44
token_set_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families,of two households both like indignity in perforurina where we,65
partial_token_sort_ratio,3,513,156,on 1 our side 1 let them begin of 2,of two households both like indignity in perforurina where we,49
simple_ratio,2,148,119,with the men i will be civil with the humane,salts both like indignity in perforurina where were now seeing,40
partial_ratio,2,720,45,both alike in dignity families rank in fair verona where,salts both like indignity in perforurina where were now seeing,67
token_sort_ratio,3,603,147,naked weapon is out quarrel i will back thee unsheathed,salts both like indignity in perforurina where were now seeing,41
token_set_ratio,2,720,45,both alike in dignity families rank in fair verona where,salts both like indignity in perforurina where were now seeing,59
partial_token_sort_ratio,3,451,164,thumb at them give the finger which is a disgrace,salts both like indignity in perforurina where were now seeing,46
simple_ratio,3,732,127,it in what sense thou wilt whatever meaning gregory 1128,indignity in perforurina where we are now seeing from asian,45
partial_ratio,2,708,46,rank in fair verona where we lay our scene from,indignity in perforurina where we are now seeing from asian,66
token_sort_ratio,3,521,153,gregory 1138 no marry i fear thee indeed sampson 1139,indignity in perforurina where we are now seeing from asian,41
token_set_ratio,2,708,46,rank in fair verona where we lay our scene from,indignity in perforurina where we are now seeing from asian,60
partial_token_sort_ratio,3,451,165,finger which is a disgrace to them if they bear,indignity in perforurina where we are now seeing from asian,44
simple_ratio,3,697,131,feel what i do to them bawdy sampson 1129 me,where were going to have seen from asian crutch break,43
partial_ratio,2,708,47,we lay our scene from ancient grudge break to new,where were going to have seen from asian crutch break,58
token_sort_ratio,3,486,159,will frown as i pass by and let them take,where were going to have seen from asian crutch break,45
token_set_ratio,2,708,47,we lay our scene from ancient grudge break to new,where were going to have seen from asian crutch break,63
partial_token_sort_ratio,3,451,165,finger which is a disgrace to them if they bear,where were going to have seen from asian crutch break,51
simple_ratio,3,697,133,they shall feel while i am able to stand and,they are seen from asian grudge break to new rutiny,48
partial_ratio,2,708,47,we lay our scene from ancient grudge break to new,they are seen from asian grudge break to new rutiny,80
token_sort_ratio,3,451,165,finger which is a disgrace to them if they bear,they are seen from asian grudge break to new rutiny,53
token_set_ratio,2,708,47,we lay our scene from ancient grudge break to new,they are seen from asian grudge break to new rutiny,74
partial_token_sort_ratio,3,451,165,finger which is a disgrace to them if they bear,they are seen from asian grudge break to new rutiny,57
simple_ratio,3,697,133,they shall feel while i am able to stand and,grudge break jini rutini where civil land makes civil hands,39
partial_ratio,2,697,49,mutiny rivalry outbreaks fighting where civil blood makes civil hands,grudge break jini rutini where civil land makes civil hands,79
token_sort_ratio,3,428,167,it take it without a fight bites his thumb abram,grudge break jini rutini where civil land makes civil hands,43
token_set_ratio,2,697,49,mutiny rivalry outbreaks fighting where civil blood makes civil hands,grudge break jini rutini where civil land makes civil hands,62
partial_token_sort_ratio,3,451,165,finger which is a disgrace to them if they bear,grudge break jini rutini where civil land makes civil hands,41
simple_ratio,3,697,133,they shall feel while i am able to stand and,in your rutiny where civil land makes civil hands unclean,44
partial_ratio,2,697,49,mutiny rivalry outbreaks fighting where civil blood makes civil hands,in your rutiny where civil land makes civil hands unclean,74
token_sort_ratio,3,358,173,you bite your thumb at us sir sampson aside to,in your rutiny where civil land makes civil hands unclean,41
token_set_ratio,2,685,50,civil blood makes civil hands unclean civilian from forth the,in your rutiny where civil land makes civil hands unclean,68
partial_token_sort_ratio,3,358,173,you bite your thumb at us sir sampson aside to,in your rutiny where civil land makes civil hands unclean,44
simple_ratio,3,638,140,you were thou hadst been poorjohn a poor catch abram,where civil land makes civil hands unclean from fourth the,40
partial_ratio,2,685,50,civil blood makes civil hands unclean civilian from forth the,where civil land makes civil hands unclean from fourth the,79
token_sort_ratio,3,346,175,gregory 1148 is the law on 1 our side if,where civil land makes civil hands unclean from fourth the,37
token_set_ratio,2,685,50,civil blood makes civil hands unclean civilian from forth the,where civil land makes civil hands unclean from fourth the,79
partial_token_sort_ratio,3,346,175,gregory 1148 is the law on 1 our side if,where civil land makes civil hands unclean from fourth the,45
simple_ratio,3,627,142,another montague servant enter armed draw thy tool here comes,makes simple hands unclean from fourth the fatal lines of,44
partial_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,makes simple hands unclean from fourth the fatal lines of,77
token_sort_ratio,3,300,180,sir i do not bite my thumb at you sir,makes simple hands unclean from fourth the fatal lines of,43
token_set_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,makes simple hands unclean from fourth the fatal lines of,71
partial_token_sort_ratio,3,346,175,gregory 1148 is the law on 1 our side if,makes simple hands unclean from fourth the fatal lines of,48
simple_ratio,3,627,142,another montague servant enter armed draw thy tool here comes,simple hands unclean from fourth the fatal lines of these,42
partial_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,simple hands unclean from fourth the fatal lines of these,84
token_sort_ratio,3,300,180,sir i do not bite my thumb at you sir,simple hands unclean from fourth the fatal lines of these,40
token_set_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,simple hands unclean from fourth the fatal lines of these,76
partial_token_sort_ratio,3,346,175,gregory 1148 is the law on 1 our side if,simple hands unclean from fourth the fatal lines of these,50
simple_ratio,3,627,143,draw thy tool here comes two 1 of the house,on the clean from fourth the fatal lines of these,48
partial_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,on the clean from fourth the fatal lines of these,84
token_sort_ratio,3,288,181,my thumb at you sir but i bite my thumb,on the clean from fourth the fatal lines of these,39
token_set_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,on the clean from fourth the fatal lines of these,83
partial_token_sort_ratio,3,346,175,gregory 1148 is the law on 1 our side if,on the clean from fourth the fatal lines of these,49
simple_ratio,3,627,143,draw thy tool here comes two 1 of the house,from fourth the fatal lines of these two foes at,46
partial_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,from fourth the fatal lines of these two foes at,87
token_sort_ratio,3,288,181,my thumb at you sir but i bite my thumb,from fourth the fatal lines of these two foes at,46
token_set_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,from fourth the fatal lines of these two foes at,77
partial_token_sort_ratio,3,349,176,on 1 our side if i say ay of 2,from fourth the fatal lines of these two foes at,47
simple_ratio,3,627,143,draw thy tool here comes two 1 of the house,from 4th the fatal lines of these two foes at,48
partial_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,from 4th the fatal lines of these two foes at,83
token_sort_ratio,3,288,181,my thumb at you sir but i bite my thumb,from 4th the fatal lines of these two foes at,43
token_set_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,from 4th the fatal lines of these two foes at,75
partial_token_sort_ratio,3,300,180,sir i do not bite my thumb at you sir,from 4th the fatal lines of these two foes at,44
simple_ratio,3,627,143,draw thy tool here comes two 1 of the house,the fatal minds of these two foes at their starcost,49
partial_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,the fatal minds of these two foes at their starcost,73
token_sort_ratio,3,300,180,sir i do not bite my thumb at you sir,the fatal minds of these two foes at their starcost,48
token_set_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,the fatal minds of these two foes at their starcost,66
partial_token_sort_ratio,3,300,180,sir i do not bite my thumb at you sir,the fatal minds of these two foes at their starcost,49
simple_ratio,3,627,144,two 1 of the house of montagues 2 sword the,these two photos a pair of starcost lovers take their,46
partial_ratio,2,662,54,pair of starcrossd lovers take their life doomed whose misadventured,these two photos a pair of starcost lovers take their,74
token_sort_ratio,3,300,180,sir i do not bite my thumb at you sir,these two photos a pair of starcost lovers take their,47
token_set_ratio,2,662,54,pair of starcrossd lovers take their life doomed whose misadventured,these two photos a pair of starcost lovers take their,68
partial_token_sort_ratio,3,300,180,sir i do not bite my thumb at you sir,these two photos a pair of starcost lovers take their,46
simple_ratio,3,603,147,naked weapon is out quarrel i will back thee unsheathed,are of course lovers take their life whos misadventure to,43
partial_ratio,2,662,54,pair of starcrossd lovers take their life doomed whose misadventured,are of course lovers take their life whos misadventure to,81
token_sort_ratio,3,218,187,do sir i am for you i serve will fight,are of course lovers take their life whos misadventure to,42
token_set_ratio,2,662,54,pair of starcrossd lovers take their life doomed whose misadventured,are of course lovers take their life whos misadventure to,78
partial_token_sort_ratio,3,218,187,do sir i am for you i serve will fight,are of course lovers take their life whos misadventure to,43
simple_ratio,3,510,154,fear thee indeed sampson 1139 let us take the law,take their life whos misadventure to pages overthrows doth with,43
partial_ratio,2,662,55,their life doomed whose misadventured piteous overthrows unfortunate pitiful downfall,take their life whos misadventure to pages overthrows doth with,73
token_sort_ratio,3,136,192,sir— gregory sees tybalt coming to sampson 1159 say better,take their life whos misadventure to pages overthrows doth with,40
token_set_ratio,2,662,55,their life doomed whose misadventured piteous overthrows unfortunate pitiful downfall,take their life whos misadventure to pages overthrows doth with,68
partial_token_sort_ratio,3,218,187,do sir i am for you i serve will fight,take their life whos misadventure to pages overthrows doth with,42
simple_ratio,3,486,160,by and let them take it as they list please,misadventure to pages over hers doth with their death burry,41
partial_ratio,2,650,57,doth 2 with their death bury their parents strife do,misadventure to pages over hers doth with their death burry,66
token_sort_ratio,3,136,192,sir— gregory sees tybalt coming to sampson 1159 say better,misadventure to pages over hers doth with their death burry,47
token_set_ratio,2,650,57,doth 2 with their death bury their parents strife do,misadventure to pages over hers doth with their death burry,69
partial_token_sort_ratio,3,136,192,sir— gregory sees tybalt coming to sampson 1159 say better,misadventure to pages over hers doth with their death burry,49
simple_ratio,3,486,160,by and let them take it as they list please,ventured hideous overthrows doth with their death burly their parents,41
partial_ratio,2,650,57,doth 2 with their death bury their parents strife do,ventured hideous overthrows doth with their death burly their parents,86
token_sort_ratio,4,720,200,thy washing blow slashing stroke they fight benvolio enters sword,ventured hideous overthrows doth with their death burly their parents,40
token_set_ratio,2,650,57,doth 2 with their death bury their parents strife do,ventured hideous overthrows doth with their death burly their parents,77
partial_token_sort_ratio,3,89,196,yes better sir 2 not in 5 abram 1162 you,ventured hideous overthrows doth with their death burly their parents,43
simple_ratio,3,486,160,by and let them take it as they list please,over hers doth with their death burry their parents strife,44
partial_ratio,2,650,57,doth 2 with their death bury their parents strife do,over hers doth with their death burry their parents strife,94
token_sort_ratio,4,662,208,deerservants turn thee benvolio look upon thy death face your,over hers doth with their death burry their parents strife,50
token_set_ratio,2,650,57,doth 2 with their death bury their parents strife do,over hers doth with their death burry their parents strife,88
partial_token_sort_ratio,4,720,200,thy washing blow slashing stroke they fight benvolio enters sword,over hers doth with their death burry their parents strife,46
simple_ratio,3,451,166,to them if they bear it take it without a,with their death rally their parents strife the faithful passage,51
partial_ratio,2,650,57,doth 2 with their death bury their parents strife do,with their death rally their parents strife the faithful passage,85
token_sort_ratio,4,615,213,sword just put away or manage it to part these,with their death rally their parents strife the faithful passage,45
token_set_ratio,2,650,57,doth 2 with their death bury their parents strife do,with their death rally their parents strife the faithful passage,81
partial_token_sort_ratio,4,720,200,thy washing blow slashing stroke they fight benvolio enters sword,with their death rally their parents strife the faithful passage,47
simple_ratio,3,428,167,it take it without a fight bites his thumb abram,their parents drive the faithful passage of their death might,46
partial_ratio,2,638,59,end fighting the fearful passage of their deathmarkd love doomed,their parents drive the faithful passage of their death might,70
token_sort_ratio,4,568,219,i hate hell all montagues and thee have at thee,their parents drive the faithful passage of their death might,52
token_set_ratio,2,638,58,bury their parents strife do end fighting the fearful passage,their parents drive the faithful passage of their death might,72
partial_token_sort_ratio,4,708,201,they fight benvolio enters sword drawn 1165 part fools separate,their parents drive the faithful passage of their death might,54
simple_ratio,3,451,166,to them if they bear it take it without a,the faithful passage of her death malt love and the,46
partial_ratio,2,638,59,end fighting the fearful passage of their deathmarkd love doomed,the faithful passage of her death malt love and the,78
token_sort_ratio,4,568,219,i hate hell all montagues and thee have at thee,the faithful passage of her death malt love and the,57
token_set_ratio,2,638,59,end fighting the fearful passage of their deathmarkd love doomed,the faithful passage of her death malt love and the,63
partial_token_sort_ratio,4,662,208,deerservants turn thee benvolio look upon thy death face your,the faithful passage of her death malt love and the,50
simple_ratio,3,451,166,to them if they bear it take it without a,little passage of her death mark love and the continuance,47
partial_ratio,2,627,60,of their deathmarkd love doomed and the continuance of their,little passage of her death mark love and the continuance,76
token_sort_ratio,4,545,220,and thee have at thee coward they fight citizens enter,little passage of her death mark love and the continuance,49
token_set_ratio,2,627,60,of their deathmarkd love doomed and the continuance of their,little passage of her death mark love and the continuance,72
partial_token_sort_ratio,4,592,216,1171 what drawn and talk of peace i hate the,little passage of her death mark love and the continuance,48
simple_ratio,3,451,166,to them if they bear it take it without a,and the continuance of a parents range which but their,46
partial_ratio,2,615,61,and the continuance of their parents rage 1010 which but,and the continuance of a parents range which but their,81
token_sort_ratio,4,545,220,and thee have at thee coward they fight citizens enter,and the continuance of a parents range which but their,56
token_set_ratio,2,615,61,and the continuance of their parents rage 1010 which but,and the continuance of a parents range which but their,95
partial_token_sort_ratio,4,545,220,and thee have at thee coward they fight citizens enter,and the continuance of a parents range which but their,57
simple_ratio,3,428,167,it take it without a fight bites his thumb abram,it in its other parents range which but their childrens,47
partial_ratio,2,615,62,parents rage 1010 which but their childrens end naught could,it in its other parents range which but their childrens,78
token_sort_ratio,4,521,223,partisans strike beat them down weapons down with the capulets,it in its other parents range which but their childrens,48
token_set_ratio,2,615,62,parents rage 1010 which but their childrens end naught could,it in its other parents range which but their childrens,75
partial_token_sort_ratio,4,545,220,and thee have at thee coward they fight citizens enter,it in its other parents range which but their childrens,51
simple_ratio,3,451,166,to them if they bear it take it without a,which but their childrens end in order to control you,45
partial_ratio,2,615,62,parents rage 1010 which but their childrens end naught could,which but their childrens end in order to control you,76
token_sort_ratio,4,521,223,partisans strike beat them down weapons down with the capulets,which but their childrens end in order to control you,50
token_set_ratio,2,615,62,parents rage 1010 which but their childrens end naught could,which but their childrens end in order to control you,71
partial_token_sort_ratio,4,545,220,and thee have at thee coward they fight citizens enter,which but their childrens end in order to control you,53
simple_ratio,3,451,166,to them if they bear it take it without a,but their childrens end in order to control you is,48
partial_ratio,2,615,62,parents rage 1010 which but their childrens end naught could,but their childrens end in order to control you is,70
token_sort_ratio,4,521,223,partisans strike beat them down weapons down with the capulets,but their childrens end in order to control you is,48
token_set_ratio,2,603,63,their childrens end naught could remove except for nothing is,but their childrens end in order to control you is,65
partial_token_sort_ratio,4,545,220,and thee have at thee coward they fight citizens enter,but their childrens end in order to control you is,53
simple_ratio,3,451,166,to them if they bear it take it without a,is now the twonails traffic of our stage to is,44
partial_ratio,2,592,65,now the two hours traffic of our stage performance the,is now the twonails traffic of our stage to is,80
token_sort_ratio,4,510,224,weapons down with the capulets down with the montagues lord,is now the twonails traffic of our stage to is,50
token_set_ratio,2,592,65,now the two hours traffic of our stage performance the,is now the twonails traffic of our stage to is,79
partial_token_sort_ratio,4,510,224,weapons down with the capulets down with the montagues lord,is now the twonails traffic of our stage to is,54
simple_ratio,3,451,166,to them if they bear it take it without a,is now the two notes traffic of our stage to,45
partial_ratio,2,592,65,now the two hours traffic of our stage performance the,is now the two notes traffic of our stage to,87
token_sort_ratio,4,510,224,weapons down with the capulets down with the montagues lord,is now the two notes traffic of our stage to,50
token_set_ratio,2,592,65,now the two hours traffic of our stage performance the,is now the two notes traffic of our stage to,84
partial_token_sort_ratio,4,510,224,weapons down with the capulets down with the montagues lord,is now the two notes traffic of our stage to,55
simple_ratio,3,451,166,to them if they bear it take it without a,to his to which a patients end what he shall,49
partial_ratio,2,580,67,which if you with patient ears attend listen what here,to his to which a patients end what he shall,61
token_sort_ratio,4,521,223,partisans strike beat them down weapons down with the capulets,to his to which a patients end what he shall,47
token_set_ratio,2,580,67,which if you with patient ears attend listen what here,to his to which a patients end what he shall,69
partial_token_sort_ratio,4,486,227,montague enter capulet 1176 what noise is this give me,to his to which a patients end what he shall,51
simple_ratio,3,428,167,it take it without a fight bites his thumb abram,the witch for a patients end what he shall miss,46
partial_ratio,2,580,68,ears attend listen what here shall miss our toil shall,the witch for a patients end what he shall miss,67
token_sort_ratio,4,521,223,partisans strike beat them down weapons down with the capulets,the witch for a patients end what he shall miss,51
token_set_ratio,2,580,68,ears attend listen what here shall miss our toil shall,the witch for a patients end what he shall miss,67
partial_token_sort_ratio,4,486,227,montague enter capulet 1176 what noise is this give me,the witch for a patients end what he shall miss,52
simple_ratio,3,358,173,you bite your thumb at us sir sampson aside to,and what he shall miss our tall shall strive to,43
partial_ratio,2,545,69,shall miss our toil shall strive to mend play act,and what he shall miss our tall shall strive to,80
token_sort_ratio,4,533,222,armed 1174 clubs bills and partisans strike beat them down,and what he shall miss our tall shall strive to,46
token_set_ratio,2,545,69,shall miss our toil shall strive to mend play act,and what he shall miss our tall shall strive to,76
partial_token_sort_ratio,4,428,235,montague is come and flourishes his blade in spite of,and what he shall miss our tall shall strive to,48
simple_ratio,3,335,177,i say ay of 2 yes gregory aside to sampson,what he shall miss our tall shall stream to mend,42
partial_ratio,2,545,69,shall miss our toil shall strive to mend play act,what he shall miss our tall shall stream to mend,82
token_sort_ratio,4,486,226,lady capulet and lord lady montague enter capulet 1176 what,what he shall miss our tall shall stream to mend,43
token_set_ratio,2,545,69,shall miss our toil shall strive to mend play act,what he shall miss our tall shall stream to mend,73
partial_token_sort_ratio,4,381,240,let me go lady montague 1182 thou shalt not stir,what he shall miss our tall shall stream to mend,51
simple_ratio,3,349,176,on 1 our side if i say ay of 2,on this outdoor shower street to mend groovy on my,45
partial_ratio,2,545,69,shall miss our toil shall strive to mend play act,on this outdoor shower street to mend groovy on my,57
token_sort_ratio,4,486,228,noise is this give me my long sword ho outdated,on this outdoor shower street to mend groovy on my,54
token_set_ratio,2,545,69,shall miss our toil shall strive to mend play act,on this outdoor shower street to mend groovy on my,56
partial_token_sort_ratio,4,381,240,let me go lady montague 1182 thou shalt not stir,on this outdoor shower street to mend groovy on my,52
simple_ratio,3,335,177,i say ay of 2 yes gregory aside to sampson,demand groovy on my word one of the chemicals no,40
partial_ratio,2,498,73,sampson 111 gregory on my word well not carry coals,demand groovy on my word one of the chemicals no,61
token_sort_ratio,4,486,228,noise is this give me my long sword ho outdated,demand groovy on my word one of the chemicals no,44
token_set_ratio,2,498,73,sampson 111 gregory on my word well not carry coals,demand groovy on my word one of the chemicals no,59
partial_token_sort_ratio,4,370,242,one 2 foot to seek a foe a 5 prince,demand groovy on my word one of the chemicals no,50
simple_ratio,3,335,177,i say ay of 2 yes gregory aside to sampson,grippy on my word on what caricles no prevent we,40
partial_ratio,2,498,73,sampson 111 gregory on my word well not carry coals,grippy on my word on what caricles no prevent we,57
token_sort_ratio,4,440,233,for a sword capulet 1179 my sword i say old,grippy on my word on what caricles no prevent we,46
token_set_ratio,2,498,73,sampson 111 gregory on my word well not carry coals,grippy on my word on what caricles no prevent we,62
partial_token_sort_ratio,4,370,242,one 2 foot to seek a foe a 5 prince,grippy on my word on what caricles no prevent we,50
simple_ratio,3,349,176,on 1 our side if i say ay of 2,no for then we should be curious i mean if,44
partial_ratio,2,463,76,for then we should be colliers coal miners sampson 113,no for then we should be curious i mean if,74
token_sort_ratio,4,428,234,my sword i say old montague is come and flourishes,no for then we should be curious i mean if,48
token_set_ratio,2,475,75,take insults gregory 112 no for then we should be,no for then we should be curious i mean if,73
partial_token_sort_ratio,4,335,247,bloody —will they not hear—what ho you men you beasts,no for then we should be curious i mean if,51
simple_ratio,3,349,176,on 1 our side if i say ay of 2,no prevent we should be curious i mean if we,46
partial_ratio,2,463,76,for then we should be colliers coal miners sampson 113,no prevent we should be curious i mean if we,62
token_sort_ratio,4,416,236,his blade in spite of me waves to spite montague,no prevent we should be curious i mean if we,48
token_set_ratio,2,451,78,i mean if 5 we be in choler well draw,no prevent we should be curious i mean if we,59
partial_token_sort_ratio,4,323,248,ho you men you beasts that quench the fire of,no prevent we should be curious i mean if we,49
simple_ratio,3,288,181,my thumb at you sir but i bite my thumb,we should be curious i mean if we leave the,44
partial_ratio,2,451,78,i mean if 5 we be in choler well draw,we should be curious i mean if we leave the,58
token_sort_ratio,4,416,236,his blade in spite of me waves to spite montague,we should be curious i mean if we leave the,48
token_set_ratio,2,451,78,i mean if 5 we be in choler well draw,we should be curious i mean if we leave the,62
partial_token_sort_ratio,4,335,247,bloody —will they not hear—what ho you men you beasts,we should be curious i mean if we leave the,50
simple_ratio,3,300,180,sir i do not bite my thumb at you sir,i mean if we leave the colour water or eye,43
partial_ratio,2,451,78,i mean if 5 we be in choler well draw,i mean if we leave the colour water or eye,67
token_sort_ratio,4,416,236,his blade in spite of me waves to spite montague,i mean if we leave the colour water or eye,49
token_set_ratio,2,451,78,i mean if 5 we be in choler well draw,i mean if we leave the colour water or eye,61
partial_token_sort_ratio,4,335,247,bloody —will they not hear—what ho you men you beasts,i mean if we leave the colour water or eye,53
simple_ratio,3,206,188,you i serve will fight you as good a man,the colour will draw eye will lift drawing in and,49
partial_ratio,2,451,79,be in choler well draw and 2 angered draw our,the colour will draw eye will lift drawing in and,56
token_sort_ratio,4,428,235,montague is come and flourishes his blade in spite of,the colour will draw eye will lift drawing in and,45
token_set_ratio,2,451,79,be in choler well draw and 2 angered draw our,the colour will draw eye will lift drawing in and,62
partial_token_sort_ratio,4,335,246,of this neighborstainèd steel offenders bloody —will they not hear—what,the colour will draw eye will lift drawing in and,50
simple_ratio,3,218,187,do sir i am for you i serve will fight,lift all your neck out of the collar i strike,43
partial_ratio,2,428,82,you live draw your neck out of the 1 collar,lift all your neck out of the collar i strike,81
token_sort_ratio,4,381,240,let me go lady montague 1182 thou shalt not stir,lift all your neck out of the collar i strike,49
token_set_ratio,2,428,82,you live draw your neck out of the 1 collar,lift all your neck out of the collar i strike,77
partial_token_sort_ratio,4,323,248,ho you men you beasts that quench the fire of,lift all your neck out of the collar i strike,51
simple_ratio,3,206,188,you i serve will fight you as good a man,i try quickly being moved but now im not quickly,39
partial_ratio,2,405,84,take noose sampson 116 i strike quickly being moved attack,i try quickly being moved but now im not quickly,70
token_sort_ratio,4,335,247,bloody —will they not hear—what ho you men you beasts,i try quickly being moved but now im not quickly,44
token_set_ratio,2,381,85,strike quickly being moved attack angered gregory 117 but thou,i try quickly being moved but now im not quickly,73
partial_token_sort_ratio,4,335,247,bloody —will they not hear—what ho you men you beasts,i try quickly being moved but now im not quickly,45
